SITE_NAME,SITE_ID,PROGRAM_NAME,BASE_EVENT_ID,TYPE,PUBLIC_REG_OPEN_DATE
"  NYC SOCCER COLLECTIVE",36,"WINTER POLAR BEAR 2016 *  7v7 * Tues/Thurs COED",73277,LEAGUE,"2015-11-17 00:00:00"
"  NYC SOCCER COLLECTIVE",36,"WINTER POLAR BEAR 2016 *  7v7 * Tues/Thurs MENS",73279,LEAGUE,"2015-11-17 00:00:00"
"Aledo Athletics",9224,"00 Coach Honkball ",73424,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"06U Coach Teeball - Boys",73422,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"06U Coach Teeball - Girls",73423,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"08U Coach Pinto - Boys",73425,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"08U Coach Pinto - Girls",73426,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"10U Coach Mustang - Boys",73427,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"10U Coach Mustang - Girls",73428,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"12U Coach Bronco - Boys",73336,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"12U Coach Bronco - Girls",73421,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"14U Coach Pony - Boys",73429,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"14U Coach Pony - Girls",73431,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Bronco Coach",73140,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Bronco Coach",73144,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Honkball Coach",72724,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Mustang Coach",73145,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Mustang Coach",73139,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Pinto Coach",73138,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Pinto Coach",73146,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Pony Coach",73141,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Pony Coach",73143,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Teeball Coach",73137,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,"Teeball Coach",73147,LEAGUE,"2015-11-20 00:00:00"
"Aledo Athletics",9224,Umpire,73464,LEAGUE,"2015-11-20 00:00:00"
"Austin Women's Basketball League",3881,"UT vs. Stanford Women's Basketball Game - 12/13",73305,EVENT,"2015-11-20 00:00:00"
"Austin Youth Basketball",4442,"Thanksgiving Basketball Camp 2015 - Ages 13 -18",73853,CAMP,"2015-11-17 00:00:00"
"Austin Youth Basketball",4442,"Thanksgiving Basketball Camp Ages 8 -12",73851,CAMP,"2015-11-22 00:00:00"
"Autism Spectrum Athletics",5166,"ASA Basketball",72389,LEAGUE,"2015-11-22 00:00:00"
"Autism Spectrum Athletics",5166,"ASA Bowling",55554,LEAGUE,"2015-11-22 00:00:00"
"Baltimore Adult Soccer League",2033,"Baltimore Spring 2016 Outdoor Coed - Div 1 (Competitive) Utz",74768,LEAGUE,"2015-12-02 00:00:00"
"Baltimore Adult Soccer League",2033,"Baltimore Spring 2016 Outdoor Coed - Div 2 (Mixed Skills)  Utz Field                 Banner Field",74771,LEAGUE,"2015-12-02 00:00:00"
"Baltimore Adult Soccer League",2033,"Baltimore Spring 2016 Outdoor Coed - Div 2 (Mixed Skills) Banner Field",74770,LEAGUE,"2015-12-02 00:00:00"
